station_id,dealer_id,country_code,station_name,latitude,longitude,address,postal_code,city
38332,13,FR,GARAGE DE MONTBEL,45.6760293,4.7733092,2 CHE DES BASSES VALLIERE,69530,BRIGNAIS
47529,63,FR,GARAGE LANGLOIS SAS,48.11432067647415,-1.599868871704075,Route de Paris - Parc d'Activité Les Peupliers II,35510,CESSON-SEVIGNE
30865,62,FR,AUDI CENTRAL AUTOS,45.7468727,4.7726191,15 AVENUE DU CHATER,69340,FRANCHEVILLE
33211,29,FR,GARAGE AVOGADRO,46.0665372,6.5107065,1481 ROUTE DU MONT BLANC,74130,VOUGY
34783,19,FR,SPEEDY PÉRIGUEUX,45.1882009,0.7299055999999382,"8, Rue De L'Arsault",24000,Périgueux
85787,220,DE,PIT STOP,49.96728770000001,8.228472699999998,Haifa-Allee 1 Gutenberg Center,55128,Mainz
37556,13,FR,LOCQUELTAS AUTOMOBILES,47.7586006,-2.763694,1 ZA DE BOTCALPIR LOCQUELTAS,56390,LOCMARIA GRAND CHAMP
47061,13,FR,INTER AUTO,49.13776406322101,-0.3345696105895968,554 RTE DE FALAISE,14123,IFS
50651,5,FR,PRESTIGE GARAGE,46.271073072222016,5.537761686136946,ZA LES AVINIERES,39240,THOIRETTE
84559,236,DE,AUTOHAUS BURGHART KG,48.22287,12.68496,Burghauser Straße 71,84503,Altötting
33065,29,FR,GARAGE CASTELLI,45.2721595,5.8883566,641 AV AMBROISE CROIZAT,38920,CROLLES
35217,26,FR,FEU VERT GRENOBLE COMBOIRE,45.1471577,5.693694499999999,12 rue de Comboire,38130,ECHIROLLES
64695,698,DE,REIFEN & SERVICE J. RADECK KG,52.0056017,8.5792807,Elpke 61,33605,Bielefeld
1667,91,DE,EUROMASTER SAARBRÜCKEN,49.20522,7.02122,Neumühler Weg 83,66130,Saarbrücken
1972,90,DE,A.T.U ASCHERSLEBEN,51.76702460962867,11.482558761004626,Güstener Straße 17 a,6449,Aschersleben
31740,29,FR,JARGEAU AUTOMOBILES,47.86519819999999,2.1225462,35 BOULEVARD CARNOT,45150,JARGEAU
58919,9,FR,PARASCANDOLA CTO ST CYR SUR MER,43.18254508514861,5.696273803514487,ZAC DE PRADEAUX,83270,ST CYR SUR MER
75561,699,DE,TOP SERVICE TEAM,48.1391021,11.359889199999998,Augsburger Str. 2,82110,Germering
58658,14,FR,GARAGE SUDRE J.P,43.4854302,2.135857200000032,3 RUE DON ROMAIN BANQUET,81110,DOURGNE
37151,14,FR,GARAGE DE LA CROIX FLEURY,47.9185867,1.9176661,247 RUE FAUBOURG SAINT VINCENT,45000,ORLEANS
840,85,DE,ALTMANN REIFEN- UND AUTOSERVICE GMBH,53.64565,10.10049,Saseler Chaussee 121-123,22393,Hamburg
35558,13,FR,GARAGE BUDKA LAURENT,49.57511770000001,3.6777972,5 R GEORGES BRASSENS,2840,ATHIES SOUS LAON
945,90,DE,A.T.U NAUMBURG,51.14488,11.83296,Wilhelm-Franke-Straße 5,6618,Naumburg
41870,9,FR,MANAVA,47.96500289999999,3.4269246,ROUTE NATIONALE 6 CHAMPLAY,89300,JOIGNY
31510,29,FR,VASSY AUTOMOBILES,48.856315,-0.5995701999999999,ROUTE DE CONDE SUR NOIREAU,14410,VASSY
58531,60,FR,SN GARAGE DE LA PLAINE SAS,43.46879286425215,5.86711119976826,Route de Barjols,83470,ST MAXIMIN LA ST BAUME
31546,5,FR,GARAGE GUALBERT JEAN FRANCOIS,46.81667359999999,3.7287583,2 ZA ROUTE DE LUZY,58250,FOURS
58412,5,FR,GARAGE NICO,45.6782006,-0.32441449999998895,24 RUE DES QUILLETTES,16100,CHATEAUBERNARD
84334,236,DE,GERD SCHIRRA GMBH,49.5277624,6.932211,Mittelbachweg 1,66687,Wadern-Lockweiler
